id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],style[0]
500801,Evian 330 ml,Evian 330 ml from Water & Soda category,in stock,new,19.00 AED,https://yourwebsite.com/menu/500801,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500801,,,
500802,Evian 750 ml,Evian 750 ml from Water & Soda category,in stock,new,29.00 AED,https://yourwebsite.com/menu/500802,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500802,,,
500807,Ginger Ale,Ginger Ale from Water & Soda category,in stock,new,25.00 AED,https://yourwebsite.com/menu/500807,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500807,,,
102226,Orange & carrot juic,Orange & carrot juic from Water & Soda category,in stock,new,39.00 AED,https://yourwebsite.com/menu/102226,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,102226,,,
500808,Scheppers Soda,Scheppers Soda from Water & Soda category,in stock,new,19.00 AED,https://yourwebsite.com/menu/500808,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,500808,,,
102228,Tropical juice,Tropical juice from Water & Soda category,in stock,new,39.00 AED,https://yourwebsite.com/menu/102228,http://43.205.113.48/iposapi/images/Cat102.png,Restaurant,100,,,,,all ages,,,,,102228,,,
200095,Tea Bag  B. Garden,Tea Bag  B. Garden from Teabag category,in stock,new,105.00 AED,https://yourwebsite.com/menu/200095,http://43.205.113.48/iposapi/images/Cat212.png,Restaurant,100,,,,,all ages,,,,,200095,,,
200093,Tea Bag  Breakfast,Tea Bag  Breakfast from Teabag category,in stock,new,105.00 AED,https://yourwebsite.com/menu/200093,http://43.205.113.48/iposapi/images/Cat212.png,Restaurant,100,,,,,all ages,,,,,200093,,,
200094,Tea Bag  Marie Antoi,Tea Bag  Marie Antoi from Teabag category,in stock,new,105.00 AED,https://yourwebsite.com/menu/200094,http://43.205.113.48/iposapi/images/Cat212.png,Restaurant,100,,,,,all ages,,,,,200094,,,
200096,Tea bag Earl grey,Tea bag Earl grey from Teabag category,in stock,new,105.00 AED,https://yourwebsite.com/menu/200096,http://43.205.113.48/iposapi/images/Cat212.png,Restaurant,100,,,,,all ages,,,,,200096,,,
200097,Tea bag laduree Blen,Tea bag laduree Blen from Teabag category,in stock,new,105.00 AED,https://yourwebsite.com/menu/200097,http://43.205.113.48/iposapi/images/Cat212.png,Restaurant,100,,,,,all ages,,,,,200097,,,
